teams,winner
"Illaoi,Viego,Sylas,Kaisa,Shaco,Yorick,Nunu,Lissandra,Ezreal,Senna",0
"Mordekaiser,Ivern,Vayne,Nilah,Nautilus,Urgot,Belveth,Diana,Twitch,Rakan",0
"Smolder,Evelynn,Qiyana,Twitch,Senna,Cassiopeia,Udyr,Yasuo,Jhin,Maokai",1
"Karma,XinZhao,Hwei,Nilah,Nautilus,Gangplank,Kindred,Azir,Draven,Gragas",1
"Darius,Yone,Karma,Seraphine,Nautilus,Urgot,MasterYi,Vladimir,Nilah,Senna",0
"LeeSin,Taliyah,Katarina,Jhin,Braum,Renekton,Nunu,Azir,Smolder,Nautilus",0
"Renekton,LeeSin,Fizz,Smolder,Senna,Jax,Taliyah,Zed,Vayne,Soraka",0
"Vayne,Volibear,Hwei,MissFortune,Nautilus,Jayce,Karthus,Katarina,Zeri,Maokai",0
"Janna,Smolder,Mordekaiser,Karma,Viego,Alistar,Shyvana,Samira,Galio,Naafiri",0
"Nilah,Shyvana,Karma,Galio,LeeSin,Akali,Aatrox,Maokai,Viego,Twitch",1
"Zac,Gragas,Jayce,Ezreal,Karma,Fiora,Belveth,Katarina,Jhin,Shaco",1
"Renekton,Taliyah,Naafiri,Twitch,Milio,MonkeyKing,Karthus,Zed,TwistedFate,Lulu",1
"Zac,Vi,Vladimir,Varus,Camille,Volibear,Taliyah,Zed,Ashe,Soraka",1
"Fiora,Teemo,Zed,Karthus,Janna,Illaoi,LeeSin,Lissandra,Smolder,Bard",1
"Aatrox,Vi,Diana,Smolder,LeeSin,Hwei,Belveth,MonkeyKing,Varus,Ashe",1
"Shaco,Karthus,Vayne,Smolder,Yuumi,Aatrox,XinZhao,Lissandra,Senna,Zyra",0
"Aatrox,Graves,Katarina,Twitch,Braum,Zac,LeeSin,Karma,Smolder,Nautilus",0
"Aatrox,Heimerdinger,Karma,Senna,TahmKench,Yone,MasterYi,Katarina,Varus,Nautilus",1
"Poppy,TahmKench,Olaf,Taric,Xerath,Pantheon,Qiyana,Zac,Velkoz,Kindred",0
"Poppy,RekSai,Taliyah,Jhin,Leona,TwistedFate,Diana,Ekko,Aphelios,Thresh",0
"Kennen,Ivern,Lucian,Twitch,Rakan,Rumble,Belveth,Neeko,Aphelios,Renata",1
"Hwei,Gragas,Volibear,Yasuo,Rakan,Renekton,Poppy,Kennen,Aphelios,Janna",1
"TwistedFate,Kennen,JarvanIV,Aphelios,Rakan,Jayce,Camille,Leblanc,Jinx,Volibear",1
"Olaf,XinZhao,Zac,Zeri,Lulu,Urgot,LeeSin,Hwei,Aphelios,Swain",0
"Qiyana,Nidalee,Zed,AurelionSol,Blitzcrank,Gangplank,Shaco,Vayne,Senna,MonkeyKing",0
"Volibear,Lulu,Annie,Zeri,Sion,Darius,Diana,Yone,Aphelios,Soraka",0
"Poppy,Kindred,Azir,Aphelios,Hwei,Rumble,Jax,Yone,Caitlyn,Neeko",0
"Ornn,JarvanIV,Galio,Aphelios,Shaco,Gwen,Rumble,Viego,MonkeyKing,Senna",0
"Olaf,XinZhao,Galio,Lulu,KogMaw,Malphite,Sejuani,Azir,Aphelios,Camille",1
"AurelionSol,Viego,MonkeyKing,Jinx,Bard,Heimerdinger,Kindred,Karma,Zeri,Alistar",1
"TwistedFate,Viego,Zac,Smolder,Sona,Urgot,Karthus,Akali,Aphelios,Maokai",1
"Renekton,Viego,Sivir,AurelionSol,TahmKench,Urgot,Poppy,Leblanc,Samira,Alistar",1
"Teemo,Taliyah,Yone,Zeri,Zac,Garen,Vi,Azir,Kaisa,Nautilus",1
"Jayce,LeeSin,Mordekaiser,Kaisa,Rell,Garen,Kindred,Yasuo,AurelionSol,Nautilus",1
"Jayce,RekSai,Viktor,Xayah,Alistar,Leblanc,Diana,Fiora,Aphelios,Renata",1
"Fiora,Sejuani,Leblanc,Swain,Camille,Renekton,Shaco,Fizz,Zeri,Karma",0
"Pantheon,Vi,Orianna,Zeri,Poppy,Renekton,Taliyah,Zac,Kaisa,Milio",1
"Yone,Fiora,Ahri,KogMaw,Janna,Garen,Viego,Syndra,Aphelios,Nautilus",0
"Fiora,Jax,Taliyah,Aphelios,Pantheon,Karma,LeeSin,Orianna,Sivir,Braum",0
"Fiora,Taliyah,TwistedFate,Varus,Senna,Vex,Belveth,Ekko,Zeri,Renata",0
"KSante,Shaco,Ezreal,Cassiopeia,Karma,Jayce,Jax,AurelionSol,Sivir,Janna",1
"Aatrox,LeeSin,Annie,Kaisa,Janna,Yone,Rell,Orianna,Zeri,Yuumi",1
"Aatrox,Udyr,AurelionSol,Varus,Karma,Darius,Gragas,Qiyana,Smolder,Sylas",1
"Volibear,Shaco,Jayce,Swain,Zilean,KSante,LeeSin,Naafiri,AurelionSol,Bard",1
"TwistedFate,Karthus,Ezreal,Zeri,Thresh,Gangplank,Taliyah,Kassadin,Kaisa,Sona",1
"Azir,Kindred,Karma,Senna,Nautilus,KSante,LeeSin,Ekko,Zeri,Thresh",1
